x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
12586,50280,47308,0,0,0,0,0,50
10794,50858,47095,0,0,0,0,0,50
11587,51407,47553,0,0,0,0,0,50
11180,51142,46902,0,0,0,0,0,50
9546,50816,46773,0,0,0,0,0,50
11260,50798,47651,0,0,0,0,0,50
10672,50836,47681,0,0,0,0,0,50
11787,50474,46845,0,0,0,0,0,50
9305,50634,47159,0,0,0,0,0,50
10568,50780,47920,0,0,0,0,0,50
9046,50960,46497,0,0,0,0,0,50
10543,50983,46444,0,0,0,0,0,50
10859,50767,47425,0,0,0,0,0,50
10942,50734,47347,0,0,0,0,0,50
12573,50515,47169,0,0,0,0,0,50
9536,50712,46681,0,0,0,0,0,50
9317,51114,47341,0,0,0,0,0,50
10959,51393,46767,0,0,0,0,0,50
11394,51030,47393,0,0,0,0,0,50
11020,50552,48082,0,0,0,0,0,50
10982,51434,48688,0,0,0,0,0,50
12397,50652,47215,0,0,0,0,0,50
11257,50496,48213,0,0,0,0,0,50
11143,50079,48323,0,0,0,0,0,50
11212,50868,47477,0,0,0,0,0,50
11620,51222,48079,0,0,0,0,0,50
11337,50683,47823,0,0,0,0,0,50
11239,49778,48185,0,0,0,0,0,50
11200,50632,47555,0,0,0,0,0,50
11496,50038,47209,0,0,0,0,0,50
11315,49558,47907,0,0,0,0,0,50
11011,51188,47200,0,0,0,0,0,50
11915,50884,46791,0,0,0,0,0,50
10871,51073,46762,0,0,0,0,0,50
11031,51332,48686,0,0,0,0,0,50
11489,50448,47535,0,0,0,0,0,50
10736,50927,47262,0,0,0,0,0,50
10782,50769,47861,0,0,0,0,0,50
10992,50880,47565,0,0,0,0,0,50
11276,51219,47354,0,0,0,0,0,50
11908,50492,47282,0,0,0,0,0,50
11884,50880,47490,0,0,0,0,0,50
11848,50052,47859,0,0,0,0,0,50
11439,50066,47159,0,0,0,0,0,50
10876,49939,47361,0,0,0,0,0,50
11064,50789,47629,0,0,0,0,0,50
10944,51496,47856,0,0,0,0,0,50
10953,50612,47526,0,0,0,0,0,50
11611,50400,47860,0,0,0,0,0,50
11437,50881,47649,0,0,0,0,0,50
11116,50910,47498,0,0,0,0,0,50
10920,49815,47305,0,0,0,0,0,50
10715,51016,47283,0,0,0,0,0,50
10732,50837,47015,0,0,0,0,0,50
11739,50453,48536,0,0,0,0,0,50
10525,51074,47612,0,0,0,0,0,50
10929,50552,47796,0,0,0,0,0,50
11089,50889,47957,0,0,0,0,0,50
10703,50463,47757,0,0,0,0,0,50
10449,50777,47600,0,0,0,0,0,50
11140,50442,48109,0,0,0,0,0,50
10127,51182,47127,0,0,0,0,0,50
10501,51094,48141,0,0,0,0,0,50
10970,51356,46762,0,0,0,0,0,50
10814,50912,47904,0,0,0,0,0,50
10790,50479,48002,0,0,0,0,0,50
11975,50689,47872,0,0,0,0,0,50
11524,50383,47567,0,0,0,0,0,50
11440,51321,47370,0,0,0,0,0,50
11485,50618,47441,0,0,0,0,0,50
10584,51119,47576,0,0,0,0,0,50
11550,50339,47734,0,0,0,0,0,50
11691,50790,47978,0,0,0,0,0,50
10852,50945,47542,0,0,0,0,0,50
11343,50682,47543,0,0,0,0,0,50
11031,50940,47424,0,0,0,0,0,50
10578,50482,47471,0,0,0,0,0,50
11341,50710,47836,0,0,0,0,0,50
10930,50957,48038,0,0,0,0,0,50
10388,51291,47601,0,0,0,0,0,50
10869,50962,48184,0,0,0,0,0,50
10841,51051,47735,0,0,0,0,0,50
10849,50857,47506,0,0,0,0,0,50
10705,50866,47550,0,0,0,0,0,50
10333,51238,47423,0,0,0,0,0,50
11917,50549,47884,0,0,0,0,0,50
11164,51059,47754,0,0,0,0,0,50
11197,50762,47917,0,0,0,0,0,50
11075,50829,47833,0,0,0,0,0,50
10897,50929,47658,0,0,0,0,0,50
9319,51029,46974,0,0,0,0,0,50
10739,50994,47714,0,0,0,0,0,50
10655,51130,47520,0,0,0,0,0,50
10822,51067,47277,0,0,0,0,0,50
68543,59018,53992,0,0,0,0,0,50
67423,60173,54395,0,0,0,0,0,50
66774,56646,54044,0,0,0,0,0,50
67864,57983,54203,0,0,0,0,0,50
67664,60223,54451,0,0,0,0,0,50
68486,60206,54089,0,0,0,0,0,50
68367,59800,54575,0,0,0,0,0,50
67470,56749,53707,0,0,0,0,0,50
66712,56589,54044,0,0,0,0,0,50
67969,59987,54004,0,0,0,0,0,50
67052,60056,54042,0,0,0,0,0,50
67440,59811,54146,0,0,0,0,0,50
68764,58249,54308,0,0,0,0,0,50
68941,59180,54049,0,0,0,0,0,50
66551,59888,54042,0,0,0,0,0,50
69296,58749,54822,0,0,0,0,0,50
67834,58537,54681,0,0,0,0,0,50
67917,58044,54222,0,0,0,0,0,50
66587,60321,54246,0,0,0,0,0,50
67007,56785,53950,0,0,0,0,0,50
68314,59289,54011,0,0,0,0,0,50
67515,58995,53602,0,0,0,0,0,50
68873,58776,53883,0,0,0,0,0,50
68542,58981,53932,0,0,0,0,0,50
67238,60113,54289,0,0,0,0,0,50
67662,60464,54570,0,0,0,0,0,50
67049,57136,53608,0,0,0,0,0,50
68478,58924,53744,0,0,0,0,0,50
67387,59968,54114,0,0,0,0,0,50
67713,58651,53663,0,0,0,0,0,50
67278,56701,54057,0,0,0,0,0,50
67236,60221,54638,0,0,0,0,0,50
66786,57138,53696,0,0,0,0,0,50
68350,59163,53961,0,0,0,0,0,50
67810,59188,53893,0,0,0,0,0,50
67000,56723,53943,0,0,0,0,0,50
67870,59323,54451,0,0,0,0,0,50
67401,60178,54388,0,0,0,0,0,50
67950,59820,53903,0,0,0,0,0,50
68940,58892,53989,0,0,0,0,0,50
68479,59042,53739,0,0,0,0,0,50
68491,59066,54109,0,0,0,0,0,50
68618,59286,53942,0,0,0,0,0,50
68755,59167,54029,0,0,0,0,0,50
67048,60262,54357,0,0,0,0,0,50
67471,60521,54722,0,0,0,0,0,50
68596,59028,54019,0,0,0,0,0,50
68735,59307,54308,0,0,0,0,0,50
68476,58981,54097,0,0,0,0,0,50
69121,58974,54211,0,0,0,0,0,50
67540,58026,54539,0,0,0,0,0,50
68576,59101,54100,0,0,0,0,0,50
